,FILM,STARS,RATING,RT_NORM,RT__USER_NORM,META_NORM,META_USER_NORM,IMDB_NORM
28,Fantastic Four (2015),3.0,2.7,0.4,1.0,1.4,1.2,2.0
0,Fifty Shades of Grey (2015),4.0,3.9,1.2,2.1,2.3,1.6,2.1
49,Paul Blart: Mall Cop 2 (2015),3.5,3.5,0.2,1.8,0.6,1.2,2.2
63,The Gallows (2015),3.0,2.9,0.8,1.4,1.5,3.5,2.2
50,The Boy Next Door (2015),4.0,3.6,0.5,1.8,1.5,2.8,2.3
109,The Vatican Tapes (2015),3.0,2.9,0.6,1.0,1.8,2.7,2.3
54,Hot Pursuit (2015),4.0,3.7,0.4,1.8,1.6,1.8,2.4
75,The Woman In Black 2 Angel of Death (2015),3.0,3.0,1.1,1.2,2.1,2.2,2.4
51,Poltergeist (2015),3.0,2.8,1.6,1.2,2.4,1.8,2.5
24,Annie (2014),4.5,4.2,1.4,3.0,1.6,2.4,2.6
