,FILM,STARS,RATING,VOTES,YEAR,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Metacritic_user_vote_count,IMDB_user_vote_count,Rotten_Diff,RT_NORM,RT__USER_NORM,META_NORM,META_USER_NORM,IMDB_NORM
0,Fifty Shades of Grey (2015),4.0,3.9,34846,2015,25,42,46,3.2,4.2,778,179506,-17,1.2,2.1,2.3,1.6,2.1
1,Jurassic World (2015),4.5,4.5,34390,2015,71,81,59,7.0,7.3,1281,241807,-10,3.6,4.0,3.0,3.5,3.6
2,American Sniper (2015),5.0,4.8,34085,2015,72,85,72,6.6,7.4,850,251856,-13,3.6,4.2,3.6,3.3,3.7
3,Furious 7 (2015),5.0,4.8,33538,2015,81,84,67,6.8,7.4,764,207211,-3,4.0,4.2,3.4,3.4,3.7
4,Inside Out (2015),4.5,4.5,15749,2015,98,90,94,8.9,8.6,807,96252,8,4.9,4.5,4.7,4.4,4.3
5,The Hobbit: The Battle of the Five Armies (2014),4.5,4.3,15337,2014,61,75,59,7.0,7.5,903,289464,-14,3.0,3.8,3.0,3.5,3.8
6,Kingsman: The Secret Service (2015),4.5,4.2,15205,2015,75,84,58,7.9,7.8,1054,272204,-9,3.8,4.2,2.9,4.0,3.9
7,Minions (2015),4.0,4.0,14998,2015,54,52,56,5.7,6.7,204,55895,2,2.7,2.6,2.8,2.8,3.4
8,Avengers: Age of Ultron (2015),5.0,4.5,14846,2015,74,86,66,7.1,7.8,1330,271107,-12,3.7,4.3,3.3,3.6,3.9
9,Into the Woods (2014),3.5,3.4,13055,2014,71,50,69,6.1,6.0,307,81679,21,3.6,2.5,3.4,3.0,3.0
10,Cinderella (2015),5.0,4.5,12640,2015,85,80,67,7.5,7.1,249,65709,5,4.2,4.0,3.4,3.8,3.6
11,Ant-Man (2015),5.0,4.5,12055,2015,80,90,64,8.1,7.8,627,103660,-10,4.0,4.5,3.2,4.0,3.9
12,Mad Max: Fury Road (2015),4.5,4.3,10509,2015,97,88,89,8.7,8.3,2375,292023,9,4.8,4.4,4.4,4.4,4.2
13,San Andreas (2015),4.5,4.3,9749,2015,50,58,43,5.5,6.5,199,45723,-8,2.5,2.9,2.2,2.8,3.2
14,Unbroken (2014),4.5,4.1,9443,2014,51,70,59,6.5,7.2,218,77518,-19,2.6,3.5,3.0,3.2,3.6
15,Spy (2015),4.5,4.3,9418,2015,93,82,75,6.3,7.3,318,66636,11,4.6,4.1,3.8,3.2,3.6
16,Magic Mike XXL (2015),4.5,4.4,9363,2015,62,64,60,5.4,6.3,52,11937,-2,3.1,3.2,3.0,2.7,3.2
17,Trainwreck (2015),4.5,4.1,8381,2015,85,74,75,6.0,6.7,169,27380,11,4.2,3.7,3.8,3.0,3.4
18,Straight Outta Compton (2015),5.0,4.8,8096,2015,90,94,72,7.3,8.4,90,15982,-4,4.5,4.7,3.6,3.6,4.2
19,Tomorrowland (2015),4.0,3.7,8077,2015,50,53,60,6.4,6.6,262,42937,-3,2.5,2.6,3.0,3.2,3.3
20,The Imitation Game (2014),5.0,4.6,8055,2014,90,92,73,8.2,8.1,566,334164,-2,4.5,4.6,3.6,4.1,4.0
21,Home (2015),4.5,4.4,7705,2015,45,65,55,7.3,6.7,177,41158,-20,2.2,3.2,2.8,3.6,3.4
22,The Divergent Series: Insurgent (2015),4.5,4.2,7123,2015,30,61,42,5.4,6.4,206,89618,-31,1.5,3.0,2.1,2.7,3.2
23,Selma (2014),5.0,4.6,7025,2014,99,86,89,7.1,7.5,316,45344,13,5.0,4.3,4.4,3.6,3.8
24,Annie (2014),4.5,4.2,6835,2014,27,61,33,4.8,5.2,108,19222,-34,1.4,3.0,1.6,2.4,2.6
25,Taken 3 (2015),4.5,4.1,6757,2015,9,46,26,4.6,6.1,240,104235,-37,0.4,2.3,1.3,2.3,3.0
26,The Wedding Ringer (2015),4.5,4.4,6506,2015,27,66,35,3.3,6.7,126,37292,-39,1.4,3.3,1.8,1.6,3.4
27,Ted 2 (2015),4.5,4.1,6437,2015,46,58,48,6.5,6.6,197,49102,-12,2.3,2.9,2.4,3.2,3.3
28,Fantastic Four (2015),3.0,2.7,6288,2015,9,20,27,2.5,4.0,421,39838,-11,0.4,1.0,1.4,1.2,2.0
29,Terminator Genisys (2015),4.5,4.2,6272,2015,26,60,38,6.4,6.9,779,85585,-34,1.3,3.0,1.9,3.2,3.4
30,Get Hard (2015),4.0,3.9,5933,2015,29,48,34,3.8,6.1,145,50022,-19,1.4,2.4,1.7,1.9,3.0
31,Southpaw (2015),5.0,4.6,5597,2015,59,80,57,8.2,7.8,128,23561,-21,3.0,4.0,2.8,4.1,3.9
32,Night at the Museum: Secret of the Tomb (2014),4.5,4.1,5445,2014,50,58,47,5.8,6.3,103,50291,-8,2.5,2.9,2.4,2.9,3.2
33,Focus (2015),4.0,3.9,4933,2015,57,54,56,6.2,6.6,167,101264,3,2.8,2.7,2.8,3.1,3.3
34,Pitch Perfect 2 (2015),4.5,4.2,4577,2015,67,68,63,5.7,6.7,192,56333,-1,3.4,3.4,3.2,2.8,3.4
35,The SpongeBob Movie: Sponge Out of Water (2015),3.5,3.3,4493,2015,78,55,62,6.5,6.1,196,26046,23,3.9,2.8,3.1,3.2,3.0
36,Entourage (2015),4.5,4.2,4279,2015,32,68,38,5.2,7.1,96,21914,-36,1.6,3.4,1.9,2.6,3.6
37,Birdman (2014),4.0,3.7,4194,2014,92,78,88,8.0,7.9,1171,303505,14,4.6,3.9,4.4,4.0,4.0
38,Jupiter Ascending (2015),3.5,3.4,4122,2015,26,40,40,4.5,5.5,503,105412,-14,1.3,2.0,2.0,2.2,2.8
39,Paddington (2015),4.5,4.3,4045,2015,98,81,77,8.2,7.2,149,38593,17,4.9,4.0,3.8,4.1,3.6
40,Pixels (2015),4.5,4.1,3886,2015,17,54,27,5.3,5.6,246,19521,-37,0.8,2.7,1.4,2.6,2.8
41,Vacation (2015),4.0,3.8,3815,2015,27,55,34,6.2,6.3,72,8179,-28,1.4,2.8,1.7,3.1,3.2
42,Chappie (2015),4.0,3.8,3642,2015,30,57,41,7.4,7.0,637,125088,-27,1.5,2.8,2.0,3.7,3.5
43,Ex Machina (2015),4.5,4.1,3458,2015,92,86,78,7.9,7.7,672,154499,6,4.6,4.3,3.9,4.0,3.8
44,Max (2015),4.5,4.5,3412,2015,35,73,47,5.9,7.0,15,5444,-38,1.8,3.6,2.4,3.0,3.5
45,"McFarland, USA (2015)",5.0,4.6,3364,2015,79,89,60,7.2,7.5,59,13769,-10,4.0,4.4,3.0,3.6,3.8
46,The Age of Adaline (2015),4.5,4.2,3325,2015,54,68,51,7.4,7.3,100,45510,-14,2.7,3.4,2.6,3.7,3.6
47,Insidious: Chapter 3 (2015),4.5,4.1,3276,2015,59,56,52,6.9,6.3,115,25134,3,3.0,2.8,2.6,3.4,3.2
48,Top Five (2014),4.0,3.5,3223,2014,86,64,81,6.8,6.5,124,16876,22,4.3,3.2,4.0,3.4,3.2
49,Paul Blart: Mall Cop 2 (2015),3.5,3.5,3054,2015,5,36,13,2.4,4.3,211,15004,-31,0.2,1.8,0.6,1.2,2.2
50,The Boy Next Door (2015),4.0,3.6,2800,2015,10,35,30,5.5,4.6,75,19658,-25,0.5,1.8,1.5,2.8,2.3
51,Poltergeist (2015),3.0,2.8,2704,2015,31,24,47,3.7,5.0,142,21372,7,1.6,1.2,2.4,1.8,2.5
52,The Man From U.N.C.L.E. (2015),4.5,4.1,2686,2015,68,80,55,7.9,7.6,144,22104,-12,3.4,4.0,2.8,4.0,3.8
53,The Gift (2015),4.0,3.7,2680,2015,93,79,77,8.3,7.6,121,10891,14,4.6,4.0,3.8,4.2,3.8
54,Hot Pursuit (2015),4.0,3.7,2618,2015,8,37,31,3.7,4.9,78,17061,-29,0.4,1.8,1.6,1.8,2.4
55,The Longest Ride (2015),4.5,4.5,2603,2015,31,73,33,4.8,7.2,49,25214,-42,1.6,3.6,1.6,2.4,3.6
56,Unfriended (2015),3.0,2.7,2507,2015,60,39,59,5.8,5.9,130,22348,21,3.0,2.0,3.0,2.9,3.0
57,Woman in Gold (2015),4.5,4.4,2435,2015,52,81,51,7.2,7.4,72,17957,-29,2.6,4.0,2.6,3.6,3.7
58,Aloha (2015),3.5,3.1,2284,2015,19,31,40,4.0,5.5,67,12255,-12,1.0,1.6,2.0,2.0,2.8
59,The DUFF (2015),4.5,4.2,2273,2015,71,68,56,6.4,6.6,69,33594,3,3.6,3.4,2.8,3.2,3.3
60,Dope (2015),4.5,4.3,2195,2015,87,86,72,7.2,7.5,43,4911,1,4.4,4.3,3.6,3.6,3.8
61,It Follows (2015),3.0,2.9,2097,2015,96,65,83,7.5,6.9,551,64656,31,4.8,3.2,4.2,3.8,3.4
62,Run All Night (2015),4.5,4.1,2066,2015,60,59,59,7.3,6.6,141,50438,1,3.0,3.0,3.0,3.6,3.3
63,The Gallows (2015),3.0,2.9,1896,2015,16,27,30,7.0,4.4,80,5511,-11,0.8,1.4,1.5,3.5,2.2
64,The Second Best Exotic Marigold Hotel (2015),4.0,3.9,1870,2015,62,63,51,6.1,6.6,41,12940,-1,3.1,3.2,2.6,3.0,3.3
65,Black or White (2015),4.5,4.2,1862,2015,39,68,45,7.9,6.6,24,4857,-29,2.0,3.4,2.2,4.0,3.3
66,Project Almanac (2015),4.0,3.7,1834,2015,34,46,47,5.4,6.4,95,40057,-12,1.7,2.3,2.4,2.7,3.2
67,Do You Believe? (2015),5.0,4.5,1793,2015,18,84,22,4.7,5.4,31,3136,-66,0.9,4.2,1.1,2.4,2.7
68,Paper Towns (2015),4.0,3.8,1750,2015,55,57,56,6.2,6.9,51,14156,-2,2.8,2.8,2.8,3.1,3.4
69,The Lazarus Effect (2015),3.0,3.0,1651,2015,14,23,31,4.9,5.2,62,17691,-9,0.7,1.2,1.6,2.4,2.6
70,Big Eyes (2014),4.0,3.8,1501,2014,72,69,62,7.5,7.0,127,39152,3,3.6,3.4,3.1,3.8,3.5
71,Ricki and the Flash (2015),4.0,3.7,1462,2015,64,53,54,7.0,6.2,37,1769,11,3.2,2.6,2.7,3.5,3.1
72,Blackhat (2015),3.0,2.8,1430,2015,34,25,51,5.4,5.4,80,27328,9,1.7,1.2,2.6,2.7,2.7
73,Self/less (2015),4.0,3.8,1415,2015,20,51,34,8.4,6.6,77,5626,-31,1.0,2.6,1.7,4.2,3.3
74,Mr. Holmes (2015),4.0,4.0,1348,2015,87,78,67,7.9,7.4,33,7367,9,4.4,3.9,3.4,4.0,3.7
